checked_at_kst,source_path,source_kind,layer_name,column_name,data_type,row_count,null_count,null_rate,distinct_count,duplicate_nonnull_count,empty_string_count,whitespace_only_count,pseudo_missing_count,leading_zero_count,min,max,mean,std,q01,q25,q50,q75,q99,negative_count,zero_count,nonfinite_count,id_candidate,join_candidate,compression,notes
2026-07-23T22:08:57+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_GEOSD,object,498828,0,0.0,3,498825,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:57+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_SCOPE,object,498828,0,0.0,3,498825,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:58+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,POI_FAMILY,object,498828,0,0.0,18,498810,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:58+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,FILTER_REASON,object,498828,0,0.0,1,498827,0,0,0,0,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:59+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,SOURCE_PRIORITY,int32,498828,0,0.0,10,498818,,,,,10.0,70.0,32.20346492177664,13.096543232498268,10.0,30.0,30.0,30.0,70.0,0,0,0,False,False,,
2026-07-23T22:08:59+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,GEOSD_PRIORITY,int32,498828,0,0.0,3,498825,,,,,10.0,30.0,11.440917510644951,4.992559380056128,10.0,10.0,10.0,10.0,30.0,0,0,0,False,False,,
2026-07-23T22:08:59+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,NAME_NORM,object,498828,0,0.0,400049,98779,1,0,1,4,,,,,,,,,,,,,False,False,,
2026-07-23T22:08:59+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,IS_GENERIC_BRANCH_NAME,bool,498828,0,0.0,2,498826,,,,,0.0,1.0,4.610807733326918e-05,0.006790136329888657,0.0,0.0,0.0,0.0,0.0,0,498805,0,False,False,,
2026-07-23T22:08:59+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,IS_GENERIC_TYPE_NAME,bool,498828,0,0.0,2,498826,,,,,0.0,1.0,0.016757279062121613,0.1283607130727926,0.0,0.0,0.0,0.0,1.0,0,490469,0,False,False,,
2026-07-23T22:08:59+09:00,/members/dhnyu/fusedata/seoul/seoul_poi_ngii_clean.gpkg,GeoPackage,seoul_poi_ngii_clean,X,float64,498828,0,0.0,271313,227515,,,,,179419.00623211366,216572.65711292825,199370.84782070972,7552.375669013492,184138.65247710355,193027.643046714,200705.84040044126,204965.031874745,213615.71157896443,0,0,0,False,False,,
